PathExt,DEGs
0.681148977,0.020419542
0.087610173,0.050155973
0.042757895,0.02737502
0.969696331,0.077258862
0.994068815,0.056034244
0.555602212,0.053874782
0.12206877,0.225635151
0.035340033,0.02511851
0.991927085,0.681148977
0.312186657,0.088838197
0.508797358,0.033608879
0.423438297,0.042757895
0.879337625,0.994068815
0.098589074,0.167346578
0.032922626,0.024415028
0.03066999,0.059469481
0.027534836,0.049254617
0.010245962,0.098589074
0.1794614,0.045459869
0.026335074,0.05003875
0.966592932,0.03066999
0.896032792,0.1794614
0.063165248,0.99868921
0.230058297,0.106916152
0.070695951,0.016995812
0.070705913,0.425161439
0.102499432,0.012304614
0.047132098,0.059374662
0.99868921,0.232426913
0.299797499,0.17580599
0.085592584,0.019051418
0.999999669,0.064347094
0.989514418,0.048079139
0.999733412,0.024624232
0.106916152,0.021815499
0.350291199,0.027612459
0.900511653,0.055443009
0.984659768,0.051093966
0.99999989,0.050646516
0.713606631,0.058027844
0.059041188,0.050410548
0.042132183,0.219723324
0.016995812,0.052244224
0.992135375,0.0580192
0.099872724,0.088754629
0.89931993,0.04469502
0.425161439,0.018754618
0.059374662,0.050655212
1,0.05478123
0.85062881,0.029661899
0.019051418,0.075356789
0.064347094,0.031106554
0.093327804,0.037516153
0.028939921,0.028741521
0.048079139,0.047195212
0.307278178,0.015597842
0.06008274,0.127321176
0.051093966,0.016433406
0.050646516,0.081195246
0.026923109,0.019111761
0.029118934,0.947958653
0.021812069,0.691090821
0.152191971,0.409851949
0.211559597,0.656223816
0.058027844,0.080567388
0.034323725,0.032165221
0.271198975,0.012630807
0.052244224,0.115023562
0.999540235,0.023619598
0.225739887,0.194586222
0.059665355,0.042233289
0.073533743,0.061719516
0.9221524,0.0218135
0.283407125,0.012919872
0.401028066,0.015114584
0.108752965,0.10189571
0.091479358,0.008484311
0.254019076,0.040382053
0.087968959,0.035579555
0.093311876,0.040735792
0.017721016,0.06393917
0.498018794,0.020896598
0.031106554,0.048443028
0.022678068,0.059692059
0.127321176,0.110951367
0.145675934,0.013105177
0.034920072,0.09706198
0.115023562,0.037117484
0.14355713,0.668438808
0.058878253,0.431827875
0.88272344,0.06995374
0.070341342,0.654211804
0.122149188,0.035028048
0.008484311,0.020283986
0.021589977,0.087136113
0.01211576,0.056233946
0.020896598,0.775312543
0.046205833,0.076846147
0.039781976,0.014839253
0.071288163,0.055619673
0.120947095,0.074861102
0.041536268,0.028126605
0.099034422,0.025313764
1,0.020494953
0.668438808,0.134612988
0.193700109,0.037123947
0.718138821,0.397534653
0.999313731,0.01347608
0.485320501,0.389412058
0.654211804,0.059316627
0.289377846,0.132818216
0.230382133,0.012409313
0.097075974,0.047355319
0.398196067,0.154134488
0.043884846,0.070779983
0.014839253,0.986390317
0.304727225,0.068610458
0.180928542,0.044326384
0.990789449,0.09518926
0.028126605,0.033269689
0.025313764,0.018537284
0.020494953,0.143697904
0.04029741,0.055917765
0.720901136,0.113560268
0.722116858,0.064569333
0.999523577,0.049777354
0.986787071,0.021276097
0.020671575,0.287561936
0.134612988,0.028267689
0.098283586,0.028451009
0.037123947,0.037425095
0.029715689,0.022321542
0.389412058,0.012727569
0.977651698,0.036802902
0.059316627,0.046930135
0.976064036,0.035997572
0.941247073,0.050848995
0.999421081,0.04516157
0.132818216,0.011439652
0.154134488,0.022067392
0.070779983,0.038727433
0.062457086,0.021982161
0.074893049,0.033589164
0.986390317,0.029270358
0.160228223,0.076748028
0.87818533,0.106833684
0.023344287,0.235032097
0.031235629,0.038010329
0.020602468,0.042237101
0.055917765,0.087065155
0.081534641,0.014369914
0.102878068,0.024437906
0.126374045,0.021893023
0.052303626,0.083225333
0.179765724,0.051626854
0.215577072,0.108297097
0.028267689,0.930089743
0.979309702,0.030509319
0.012959363,0.196997291
0.592483054,0.031492772
0.998066255,0.106931287
0.931770541,0.066771303
0.023584762,0.833948655
1,0.029941504
0.073650741,0.019934909
0.038727433,0.032444635
0.820441863,0.081147454
0.846290642,0.055084045
0.024419451,
0.200352524,
0.096509016,
0.038010329,
0.057292109,
0.375672181,
0.013452472,
0.052557422,
0.995870189,
0.10752577,
0.052266329,
0.021893023,
0.083225333,
0.044245297,
0.978795767,
0.930089743,
0.030509319,
0.451908896,
0.792149083,
0.066771303,
0.052722508,
0.594052888,
0.833948655,
0.21490492,
0.072605691,
0.029847094,
0.883344289,
