Basal,Her2,LumA,LumB
CTBP2,CCR2,EXO1,TYK2
FBN3,CTBP2,MYBL2,BRCA2
KNG1,FGG,TRH,KIF18A
KPNA2,IFNB1,CCR4,MAGEA3
PIM2,LTA,DRD4,CCNE2
SP1,TP53,FGFR3,CDC7
YWHAZ,YWHAZ,MCHR1,GATA5
BGN,BRCA2,ADCY2,HJURP
BRCA2,CA9,GNB1,PYY
FOSL1,CCR3,ITPKA,CCR3
IRF7,CCR7,GDF9,F2
LIG1,CDC7,LCK,FGFR4
KIF14,DVL3,PAX2,IRF7
NCAPH,FOXA2,EDNRA,MX1
TCF3,GNAS,INSM1,PARD6B
WT1,HDAC2,PTTG1,PLG
CCK,IL2RA,SERPINE1,TRIM37
ISG15,ITGAV,TRAF2,CTTN
MAGEA4,JAK2,MAGEA12,GNAS
NKX2-5,KIF14,STX1A,GNG3
SIX3,KIFC1,ERBB3,MAGEA1
TIMELESS,KISS1R,GNAS,NKX2-2
UBC,MAPK1,GNGT1,PLAUR
BARD1,MAPK9,RAC1,PMCH
MYC,MUC1,CTNNB1,PTK2
TYK2,NME1,ADCY1,PTPN1
APLP1,ONECUT2,EZH2,ZWINT
ATOH1,ORM1,UBE2T,CALM1
CDK2,CDH1,COL18A1,GNA15
E2F7,COL5A1,ECT2,GRM4
GABRA5,CTNNB1,CDT1,MAGEA6
IL21,FIBCD1,PTK2,PACSIN1
MAGEA9,GSR,TUBA3C,UHRF1
CEBPB,HMMR,CDCA2,CDKN2A
DKK1,IFNG,CDCA8,CTBP2
HAPLN1,IRF7,GATA5,DVL3
HMMR,ISG15,ANLN,HAPLN1
KCNJ6,KIF15,F2RL2,HLA-A
OPRK1,MAGEA4,KCNH1,MCHR1
COL1A1,MC5R,PLAU,MCHR2
FGFR4,MCM2,SHH,MCM2
FOXP3,NCAPH,TP53,NCAPH
GIT1,PIM2,IGFBP5,PLCB3
MAGEB6,PLG,SSTR5,SSX2
MAX,PMCH,TBX20,CREBBP
NCAN,PRAME,LIG1,CXCR5
NR5A1,PRKACA,GHRH,MCM4
PQBP1,PRKACG,PLA2G3,PKLR
TLE1,PTK2,MEP1A,SP1
CTLA4,SDC1,NEK10,YWHAH
IRF9,SSX2,PARD6B,CDCA3
KISS1,STUB1,TACR3,CDK5R1
BCAN,TCF4,PLA2G10,DPPA2
